Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.343750;-2.180924;-0.505407;-1.932505;-1.756527;0.058594;0.155936;-1.018505;-0.672466;
0.347656;10.756284;12.977276;12.002707;11.775361;11.883691;10.551093;10.391244;10.403322;
0.351563;9.844803;9.461532;10.140774;8.758119;11.565398;9.874718;10.155010;9.997632;
0.355469;6.100065;4.824511;5.483982;4.500181;7.851933;7.610942;7.725514;7.638430;
0.359375;3.474283;3.649940;3.214957;3.547336;4.783219;5.553786;5.380077;5.396231;
0.363281;3.097737;5.143328;3.903415;4.564981;3.951380;3.496158;3.764434;3.648568;
0.367188;1.907188;4.252283;2.873086;2.740050;2.868626;0.076228;1.981737;1.131958;
0.371094;-7.060720;-7.399604;-7.577276;-9.368197;-4.952919;-8.755248;-5.267360;-7.003416;
0.375000;-9.411304;-10.977736;-9.981541;-12.598969;-8.038701;-10.976161;-7.488215;-9.316322;
0.378906;-4.129845;-4.919750;-3.410777;-5.824136;-4.763443;-6.145829;-4.358562;-5.086590;
0.382813;-3.217720;-2.720223;-2.266782;-3.227679;-4.260427;-3.587223;-4.578523;-3.196953;
0.386719;-9.471761;-8.097905;-9.661562;-8.302481;-9.362145;-6.615766;-9.970337;-6.538991;
0.390625;-14.014493;-14.217668;-15.321144;-14.136598;-12.764600;-9.900449;-13.194397;-9.262125;
0.394531;1.157478;0.822922;1.131443;0.976204;1.124580;2.591642;1.072704;4.181205;
0.398438;20.277363;20.896894;21.654629;21.723484;18.158712;19.152906;18.252138;20.905224;
0.402344;20.845135;19.628698;21.495945;21.952309;18.479809;19.752123;18.061550;20.776606;
0.406250;9.496975;5.191592;9.375835;9.193809;8.042632;8.858486;6.750371;8.812609;
0.410156;-3.267076;-9.994462;-3.396299;-4.902865;-3.817709;-3.537255;-5.595885;-4.768604;
0.414063;-3.971711;-8.826235;-3.129148;-4.185621;-5.310417;-4.240467;-6.591146;-6.479547;
0.417969;-0.636317;-1.955961;0.602460;1.106856;-2.448645;-0.574735;-3.015660;-3.230176;
0.421875;-5.141819;-7.175118;-4.961231;-5.413602;-5.009419;-4.423115;-5.989528;-6.841566;
0.425781;-5.107185;-8.680604;-5.326241;-7.431369;-3.771007;-4.642122;-5.383280;-6.588618;
0.429688;-2.119402;-5.009281;-2.359561;-4.013724;-1.361600;-1.825347;-2.556071;-3.372358;
0.433594;1.028800;0.556033;1.130223;1.170445;0.558263;-0.004591;-0.268853;-1.137798;
0.437500;2.095763;2.334809;2.548066;3.093280;1.224398;-0.857892;0.012240;-1.549333;
0.441406;-4.718445;-6.669369;-4.998241;-5.581651;-4.527334;-6.957384;-5.801463;-6.972372;
0.445313;-9.872521;-10.898649;-10.436316;-10.716671;-9.206079;-10.481725;-9.900703;-9.329106;
0.449219;-13.091887;-10.512533;-13.518705;-12.250743;-12.520121;-13.516673;-13.010917;-11.285053;
0.453125;-11.994118;-7.047540;-11.835647;-10.247007;-11.680695;-14.065958;-12.655994;-11.512872;
0.457031;-4.869487;-0.451082;-3.959662;-3.567404;-4.240659;-8.112737;-5.533689;-5.887973;
0.460938;-1.599852;-0.612793;-1.228821;-2.767481;0.908636;-3.491371;-0.323996;-1.885440;
0.464844;1.851134;1.747609;2.168806;0.252880;4.899172;0.447530;3.494608;1.437946;
0.468750;3.875438;4.741903;5.011397;4.171831;5.437179;1.444097;3.708651;1.868908;
0.472656;3.507249;4.421322;5.151243;5.399722;3.224591;1.320823;1.842202;0.952652;
0.476563;2.751078;2.967191;3.825243;5.065944;1.094566;2.505760;0.921426;1.375734;
0.480469;-2.843022;-4.460873;-3.398285;-2.764338;-4.867836;-1.593519;-3.747591;-2.634341;
0.484375;-0.208502;-1.313843;-0.441278;-0.847115;-3.722376;-0.746095;-1.783731;-0.977312;
0.488281;7.502463;8.505589;8.291448;8.607658;2.280365;5.185873;4.445712;5.563627;
0.492188;5.177697;6.260746;4.888355;6.508786;1.014406;4.508861;2.893346;5.226436;
0.496094;-3.065116;-2.709394;-4.540702;-2.329299;-4.645981;-1.574861;-3.037149;-0.510509;
0.500000;-10.523490;-11.027546;-12.023807;-10.166380;-10.564130;-8.518757;-9.099867;-7.581990;
0.503906;-4.818186;-4.394116;-4.936840;-3.129084;-6.157457;-4.228186;-5.240395;-4.235147;
0.507813;5.908938;7.045532;6.739625;8.498977;2.979116;5.750757;3.037106;4.616059;
0.511719;5.552144;4.646296;5.497306;5.914020;3.839050;7.216819;3.417417;5.620351;
0.515625;3.318169;1.833672;2.929814;2.554993;3.453601;6.449749;3.189256;4.918272;
0.519531;2.396397;1.952967;2.466461;2.656834;2.975548;5.418481;3.218887;3.688262;
0.523438;5.315783;6.085151;6.131939;7.440578;4.853617;6.906544;5.382055;4.709976;
0.527344;7.344595;8.099875;8.462764;10.012884;6.867438;7.832427;7.098955;5.677995;
0.531250;-0.174770;-1.494534;-0.227136;0.053445;1.431914;1.229980;1.506862;-0.078944;
0.535156;-2.607335;-3.744368;-3.301491;-3.232697;-0.756046;-1.097977;-0.281077;-1.393901;
0.539063;1.893801;2.348036;1.471182;2.346203;1.648289;1.608069;2.148938;1.886875;
0.542969;5.641064;6.559375;5.401698;6.999042;3.188141;3.660876;3.473143;4.237995;
0.546875;4.175766;4.404042;3.393634;5.645962;1.237509;2.547720;2.081565;3.697508;
0.550781;-3.393123;-5.157404;-5.196535;-4.182147;-4.181679;-3.164387;-2.584063;-1.138522;
0.554688;-0.836215;-2.121835;-1.990698;-2.615889;-0.389707;-0.947099;1.096845;1.333277;
0.558594;5.938379;6.456226;5.437558;5.265235;5.196779;4.521420;6.032956;5.961905;
0.562500;3.137044;3.396394;1.906408;3.025711;1.072339;2.503618;1.526949;2.799850;
0.566406;-2.388258;-3.847078;-3.665802;-2.716145;-4.135147;-1.334672;-3.943099;-1.866875;
0.570313;-4.840115;-9.087680;-5.570842;-6.680395;-5.339798;-3.162842;-5.585878;-4.003811;
0.574219;2.335283;-2.042014;2.354844;1.121500;0.112771;2.170626;-0.275205;1.677395;
0.578125;8.418626;5.581221;8.499578;9.388427;3.157434;6.344170;2.884693;6.323771;
0.582031;4.256607;0.618965;3.502213;4.435828;-0.746368;2.438163;-0.976100;2.286518;
0.585938;-0.108281;-4.467275;-1.674779;-1.468178;-2.932542;-0.560735;-2.628850;-1.608694;
0.589844;-5.328255;-8.900523;-7.799450;-6.636953;-6.560878;-3.717039;-5.175443;-5.708279;
0.593750;-5.128165;-5.854969;-6.120895;-4.051577;-5.958853;-2.941569;-4.370877;-5.008248;
0.597656;-1.095803;-0.056870;0.869078;1.752950;-0.230495;0.355060;-0.469998;-1.201526;
0.601563;-4.488837;-5.871760;-2.438059;-3.836884;-0.095578;-3.131445;-2.711798;-4.352179;
0.605469;-7.039381;-9.955394;-6.400409;-8.293692;-1.499697;-6.761034;-4.414053;-7.847077;
0.609375;-7.170075;-8.891870;-6.475486;-8.195403;-2.454156;-8.487719;-4.019910;-9.353848;
0.613281;-3.612843;-2.830295;-1.080361;-3.277672;0.200686;-5.593550;-0.404962;-6.354668;
0.617188;0.071299;2.033294;2.803465;1.235850;2.419744;-0.719006;2.733610;-1.913351;
0.621094;-4.474815;-4.657288;-4.713531;-4.951673;-3.668253;-3.312444;-1.804770;-4.559847;
0.625000;-4.855921;-5.566556;-6.123253;-5.820706;-5.180976;-5.089124;-2.569122;-4.959841;
0.628906;-1.867301;-1.371179;-1.259092;-1.769550;-1.773054;-4.384550;-0.238549;-3.350082;
0.632813;-0.975161;-0.926538;0.922301;-0.245266;-0.198370;-2.849460;-0.371591;-3.259263;
0.636719;-1.740647;-3.248937;-0.529320;-1.304744;-0.976666;-2.218120;-1.783726;-3.804507;
0.640625;-8.756135;-10.309496;-8.942439;-10.382813;-6.284025;-8.868183;-6.446979;-8.473939;
0.644531;-9.007102;-6.003908;-8.325619;-10.220006;-4.704690;-9.729575;-4.234274;-6.563738;
0.648438;-2.133869;3.961579;-0.246885;-0.847147;1.640954;-2.806456;1.694007;0.425028;
0.652344;-0.046001;3.248236;0.900941;1.234138;1.721305;-0.007409;1.066764;1.627340;
0.656250;-2.737908;-2.793211;-2.978848;-2.944101;-2.208306;-2.208018;-2.512191;-1.160811;
0.660156;-6.905574;-8.177270;-7.403055;-8.201796;-5.414583;-4.719979;-4.915902;-3.313406;
0.664063;0.370040;0.967651;1.309337;0.975493;2.351648;3.865339;2.594021;5.099859;
0.667969;9.067514;11.172599;11.060216;11.870923;9.903204;11.970097;9.162436;12.480061;
0.671875;2.505553;2.987966;3.095268;3.537216;2.251819;3.867267;1.289140;4.504756;
0.675781;-5.866414;-5.800162;-6.562445;-6.593912;-6.279254;-5.881368;-6.529076;-3.903432;
0.679688;-7.678752;-6.618360;-8.011607;-7.889515;-6.959528;-7.661220;-6.631067;-4.631120;
0.683594;-2.116872;0.649316;-0.830916;0.000705;-1.325907;-2.018560;-0.792910;0.657235;
0.687500;0.731225;4.244693;2.548477;3.835380;0.703368;0.508484;1.388676;2.229101;
0.691406;-5.660800;-4.698843;-5.148251;-6.051439;-4.583384;-6.666514;-4.266567;-5.134370;
0.695313;-5.154441;-5.653824;-4.824887;-8.342156;-2.193588;-8.632086;-3.019181;-6.889777;
0.699219;0.285391;1.109294;0.771418;-1.902121;4.295746;-3.956491;2.606505;-3.076906;
0.703125;3.719723;6.904547;3.590042;4.315975;6.641369;1.302131;5.460204;0.590890;
0.707031;3.829519;6.944092;3.047802;4.918381;4.601134;2.403935;4.405650;1.159660;
0.710938;-1.351576;-2.231577;-3.020865;-3.376947;-1.002287;-2.680540;-1.228301;-3.251147;
0.714844;0.792035;-0.912225;-0.848440;-1.267803;0.376543;-0.302845;-0.051090;-0.581786;
0.718750;5.397051;6.549258;4.044432;6.146087;2.906768;5.451723;3.296129;4.373205;
0.722656;2.159466;4.599594;0.858202;3.493416;-0.798154;3.546044;0.070079;1.503896;
0.726563;-5.143891;-3.547117;-5.823437;-4.936739;-5.143852;-3.020823;-5.319807;-5.017568;
0.730469;-11.911074;-11.798041;-12.101912;-13.138581;-7.811980;-9.291545;-9.125032;-9.952864;
0.734375;-5.015874;-3.230791;-3.934385;-4.928456;-0.546992;-3.690741;-1.793350;-2.792039;
0.738281;7.333851;11.400704;9.861543;9.390251;10.025722;6.891567;9.282305;8.502948;
0.742188;8.952720;11.947559;11.559267;9.414763;11.656042;8.263261;11.126676;10.306205;
0.746094;4.058733;5.751983;5.667523;1.992847;7.508450;3.491477;7.397862;6.347721;
0.750000;-3.125701;-1.356366;-3.457322;-6.120579;0.563401;-3.408303;1.197232;-0.134180;
0.753906;-1.716788;2.338704;-2.690085;-2.334121;0.617216;-2.253330;1.772539;0.089237;
0.757813;4.495559;9.486135;4.356171;6.119128;4.911829;3.518346;6.124878;4.098680;
0.761719;3.271690;4.564735;3.856750;2.462984;3.569064;1.521297;4.094944;1.611806;
0.765625;1.987614;0.149319;3.763066;-1.375449;2.713619;-2.179322;1.878319;-0.744972;
0.769531;1.150761;-1.280862;3.502969;-1.549995;1.275517;-3.337977;-0.417397;-1.561470;
0.773438;1.795959;0.696817;4.073405;2.009475;-0.018788;0.458637;-1.424867;0.146653;
0.777344;0.562930;-0.111114;2.062877;1.869353;-2.484823;2.308745;-3.370770;-0.146134;
0.781250;-6.083709;-9.859865;-6.621686;-7.412067;-8.558089;-2.805021;-9.381260;-6.235534;
0.785156;-2.637855;-7.703746;-3.634134;-3.996314;-5.318262;1.087369;-6.374922;-3.512445;
0.789063;6.242988;2.781526;6.848784;7.944503;3.173872;10.917191;1.668956;4.748834;
0.792969;8.641582;7.035031;10.972410;12.353024;5.938456;13.974852;4.241838;7.224607;
0.796875;2.164360;0.705977;4.341660;5.366456;-0.153556;6.876357;-1.267753;1.197140;
0.800781;-9.434886;-13.779933;-9.767911;-9.058929;-11.586156;-5.274509;-11.664365;-9.249628;
0.804688;-5.099810;-9.988939;-6.980158;-4.546955;-9.385694;-1.701264;-7.862679;-4.973052;
0.808594;9.484544;7.417869;7.493890;12.746228;2.886172;12.276873;6.307002;9.130952;
0.812500;12.982659;13.834478;11.542244;16.196810;8.679487;14.723601;12.188923;13.303636;
0.816406;3.862145;6.503634;3.896986;4.189309;5.537256;3.348030;7.014152;4.929779;
0.820313;-8.261221;-6.242344;-7.477397;-11.236064;-2.350995;-9.886680;-2.248713;-6.934728;
0.824219;-4.260618;-1.225149;-3.080075;-6.295099;0.056425;-6.010094;0.698253;-3.794690;
0.828125;7.094663;12.626099;8.036545;7.965088;7.516629;5.295690;9.232852;7.272614;
0.832031;6.988280;11.923524;6.243167;7.109651;5.953640;5.264309;8.150517;8.370502;
0.835938;2.416906;4.916109;0.342870;0.596843;1.845297;1.012046;3.855633;4.463532;
0.839844;-0.141946;-0.031878;-2.101918;-2.808723;0.291968;-1.068654;1.566463;1.318391;
0.843750;5.351852;6.036814;5.782205;3.603756;6.272048;1.762469;6.224716;4.107376;
0.847656;8.264498;10.875370;10.553615;7.249077;10.321131;1.237793;8.885147;4.868777;
0.851563;-2.463342;-1.339542;-2.047241;-4.752378;0.920621;-7.838264;-0.761331;-4.582571;
0.855469;-9.855169;-11.308456;-11.771987;-11.824696;-8.174370;-11.621079;-9.116576;-10.862568;
0.859375;-8.954925;-11.515129;-10.959767;-9.354777;-9.803589;-9.410551;-10.661693;-10.499404;
0.863281;-2.825496;-4.022592;-3.287033;-1.834317;-4.844516;-3.477103;-6.334704;-4.865838;
0.867188;0.625468;0.301593;0.191449;1.924634;-2.326771;1.297704;-3.673177;-0.333112;
0.871094;-6.532485;-9.673914;-9.781389;-7.142272;-10.402396;-2.384269;-10.510443;-4.841496;
0.875000;-9.172514;-13.579573;-13.500083;-9.434519;-14.241339;-3.053962;-13.060416;-6.583169;
0.878906;-5.092577;-8.048213;-7.896348;-2.744384;-10.706519;1.111122;-8.916669;-3.433733;
0.882813;-0.460971;-2.007994;-2.202063;3.388784;-5.964656;5.620506;-3.992522;0.777496;
0.886719;0.926487;-0.412813;-1.264095;4.269843;-3.714805;7.007407;-1.826395;3.083652;
0.890625;-3.951623;-6.975380;-6.988234;-3.372671;-5.755493;1.952747;-4.689651;-0.244245;
0.894531;2.159815;-0.175122;0.655014;2.141483;2.781628;5.818144;2.399702;5.190024;
0.898438;14.688210;14.741866;15.599432;15.997921;16.587936;15.415468;15.033257;15.518909;
0.902344;13.865928;14.066321;15.329653;14.455821;17.329779;13.138485;15.481174;13.306147;
0.906250;2.454958;1.347442;3.192175;0.879014;7.150195;0.825382;5.918812;1.029839;
0.910156;-7.565080;-10.208143;-7.734001;-11.825146;-2.649231;-10.607903;-2.732556;-9.913957;
0.914063;0.276032;-0.406504;1.390408;-3.842908;3.760609;-5.889161;4.700446;-4.191122;
0.917969;14.764136;17.563354;18.171532;12.510214;17.422615;6.255876;18.741571;9.128918;
0.921875;14.487775;17.139244;17.619078;11.803565;18.171598;7.490371;19.109266;10.790885;
0.925781;6.313731;7.266605;7.288929;3.436483;9.907854;2.836535;9.958843;4.950248;
0.929688;0.049478;-0.446018;-0.483158;-1.824735;2.092378;-0.579727;1.418412;-0.459946;
0.933594;4.753777;5.083368;5.321235;5.056813;4.499607;4.287526;3.814705;3.388662;
0.937500;8.612372;10.238320;10.182150;10.253432;6.839253;7.594710;6.523905;7.198846;
0.941406;-1.785024;-2.138429;-2.026798;-2.125311;-3.088506;-1.516321;-2.930898;-0.703689;
0.945313;-3.542169;-5.074139;-5.000688;-4.684534;-5.154983;-2.864035;-4.014003;-1.029962;
0.949219;8.639297;8.144661;7.873625;8.653053;5.605503;7.739310;7.663781;10.276361;
0.953125;18.622351;19.637524;19.036175;19.477037;14.851441;15.505766;16.410439;18.493881;
0.957031;14.206493;15.014553;14.623097;14.887314;11.350141;10.786300;11.455723;13.519191;
0.960938;-3.434606;-5.122735;-4.607749;-3.869031;-4.374044;-3.596064;-4.749914;-1.862608;
0.964844;-9.781037;-10.549476;-10.958366;-8.478154;-10.817980;-7.010854;-10.356134;-6.155503;
0.968750;-2.141841;0.048773;-1.864702;1.647270;-4.333137;0.867652;-3.399254;1.435930;
0.972656;5.778228;8.172294;6.669482;9.106877;3.614524;7.805467;3.842115;8.059198;
0.976563;6.030688;6.253893;6.064564;7.705214;4.936275;8.049642;4.272386;7.288264;
0.980469;-3.903815;-6.722410;-5.393627;-3.977388;-3.264397;-0.395077;-4.565707;-2.554379;
0.984375;-5.805584;-8.086245;-6.015462;-5.419270;-4.584317;-2.852060;-6.633130;-5.846316;
0.988281;-0.972112;-0.712315;1.704558;0.003295;0.403385;-1.121806;-1.992561;-3.424518;
0.992188;-2.598900;-2.137082;0.207738;-3.662580;-0.666535;-6.056399;-2.249340;-5.834890;
0.996094;-3.701980;-3.820103;-3.751354;-6.129023;-2.620858;-9.243472;-2.568852;-6.171762;
1.000000;-1.127155;-1.306079;-4.397120;-3.786750;-1.653483;-6.501567;-0.171778;-2.331374;
1.003906;6.519558;9.082253;3.751617;4.550594;5.062428;0.904531;7.039190;4.610854;
1.007813;10.056516;15.650223;10.046532;8.074288;9.852242;3.324065;11.466680;6.793708;
1.011719;6.076218;11.035733;6.274244;2.201922;7.678313;-0.184004;9.530347;3.806093;
1.015625;6.716895;10.956833;5.530713;2.875657;6.898220;1.623446;10.712429;6.186180;
1.019531;7.028813;11.677358;5.548395;4.400987;5.055579;2.339122;10.250254;7.219117;
1.023438;8.505018;13.861244;8.753779;6.834591;6.185988;2.738590;9.760150;7.405763;
1.027344;9.522629;13.721376;10.801114;8.240568;7.969291;4.032404;8.947269;7.462193;
1.031250;0.373170;0.728479;-0.370884;-1.815583;0.149182;-1.086506;0.140768;0.551401;
1.035156;-6.072048;-6.959348;-8.465854;-7.377106;-5.895716;-4.283811;-6.057771;-3.889420;
1.039063;-5.785006;-5.492305;-7.556009;-5.593226;-5.485740;-4.453735;-6.477001;-4.104427;
1.042969;-2.844040;-1.501445;-2.648243;-2.366885;-1.920792;-4.013992;-3.978862;-2.744553;
1.046875;-2.821993;-1.825656;-1.270620;-2.658591;-1.292248;-4.787180;-3.362566;-3.254786;
1.050781;-11.196890;-13.044066;-10.365360;-12.313241;-9.313704;-10.139793;-10.500716;-10.295931;
1.054688;-11.734285;-14.223172;-11.191690;-11.931972;-10.571133;-8.079199;-11.710032;-10.337182;
1.058594;-3.333881;-4.280346;-2.418634;-1.661876;-2.471550;-0.120980;-4.888258;-2.437699;
1.062500;1.419724;0.634952;1.849704;2.727877;2.863722;3.059971;-0.285883;2.252397;
1.066406;-1.528074;-3.619874;-1.920925;-1.468290;0.400449;0.011667;-2.197662;-0.548413;
1.070313;-9.889575;-14.333325;-10.852956;-11.111215;-7.246943;-6.400437;-9.444663;-8.678672;
1.074219;-5.885700;-9.917006;-5.710473;-5.737478;-4.339583;-2.440795;-6.641044;-5.913327;
