Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.582031;-6.464871;-8.115337;-4.787528;-4.899933;-5.099152;-6.649769;-5.900219;-5.873586;
0.585938;-0.647295;-1.308221;2.358138;2.029966;3.410335;-0.346052;0.354211;-0.887160;
0.589844;-4.954477;-8.253047;-3.083754;-4.102427;0.804279;-3.181565;-3.504166;-5.075230;
0.593750;-6.612660;-11.293932;-6.306705;-7.021223;-4.542567;-4.460105;-6.037471;-6.877861;
0.597656;-3.312519;-6.792801;-3.509759;-3.263218;-5.105349;-1.806332;-3.461162;-3.888274;
0.601563;-1.755847;-3.149979;-1.042248;-1.049497;-2.573294;-1.436723;-1.034983;-2.318099;
0.605469;-7.054825;-7.584773;-5.446136;-6.411085;-4.963605;-7.631893;-4.734185;-6.823232;
0.609375;-17.744898;-20.393160;-16.828465;-18.730640;-13.460451;-17.670486;-14.784601;-16.295382;
0.613281;-14.973903;-18.396235;-13.757167;-16.089354;-9.518492;-14.141489;-13.261571;-14.429719;
0.617188;-2.875958;-5.184918;-0.530874;-2.859106;2.904741;-2.100284;-2.267917;-4.402653;
0.621094;1.934243;0.257392;4.663222;1.942993;7.384970;2.157359;2.762993;-0.186146;
0.625000;-3.903894;-5.655493;-1.878564;-4.445697;0.393205;-3.263700;-2.756906;-4.865596;
0.628906;-15.824018;-18.525843;-16.079252;-17.032282;-14.503240;-12.985494;-14.730880;-14.994485;
0.632813;-15.852180;-17.301613;-16.930431;-15.635818;-18.910460;-12.316546;-15.095244;-15.015282;
0.636719;-6.855402;-6.802401;-7.019404;-4.853926;-11.566947;-4.426797;-5.931964;-7.154314;
0.640625;-4.297584;-5.723929;-4.352150;-3.436189;-6.736957;-2.025048;-2.938679;-5.005491;
0.644531;-8.472154;-11.508679;-8.925074;-9.395126;-6.129823;-5.971124;-7.394524;-9.556387;
0.648438;-15.897434;-19.456713;-16.417963;-17.664379;-8.129247;-14.622638;-15.085977;-17.676685;
0.652344;-13.201614;-14.834239;-12.199930;-13.725412;-5.968213;-14.793319;-12.559084;-16.164366;
0.656250;-5.459986;-5.396204;-3.577990;-4.556965;-4.843503;-8.156096;-4.999600;-9.010799;
