Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.414063;-1.756457;0.729708;-3.283679;-0.398262;-1.709552;2.492081;-2.069700;0.634769;
0.417969;8.416641;11.730631;8.796212;9.768178;7.402612;10.937794;7.833984;10.072909;
0.421875;11.952106;16.902704;14.389981;13.033795;12.101115;13.093177;13.322532;13.755448;
0.425781;-3.765738;2.367348;-2.563856;-3.788132;-1.149092;-2.255370;0.724373;-0.485742;
0.429688;-10.988121;-5.328300;-10.912985;-11.808379;-7.589055;-11.202720;-6.204997;-8.688266;
0.433594;-1.102877;3.084910;0.169167;-2.479582;1.561936;-5.042588;2.190693;-1.540685;
0.437500;10.900854;14.978199;13.995475;9.061105;12.244074;4.850796;13.750608;9.247965;
0.441406;11.080273;17.003483;13.734746;9.892472;11.706881;6.985438;15.017915;11.215158;
0.445313;-2.035889;4.611153;-2.632302;-2.129489;-0.029150;-1.603927;3.360096;1.200456;
0.449219;-2.745835;1.394543;-4.740624;-1.301685;-0.157322;-1.326780;1.189702;-0.101241;
0.453125;5.875628;6.955291;5.281932;8.595939;7.516514;5.874729;7.225204;6.248572;
0.457031;5.462183;6.426790;6.452134;8.077076;6.994376;5.710634;6.620121;6.194929;
0.460938;-0.352070;1.392165;1.899889;0.449403;3.272103;-0.265385;2.071367;1.077926;
0.464844;-4.978817;-5.344079;-2.484109;-6.996493;1.076337;-6.115138;-2.240088;-4.697813;
0.468750;2.824610;-0.698001;4.691859;0.579273;5.726218;0.275509;2.630995;0.598639;
0.472656;9.381775;5.299848;10.162284;9.141995;6.482195;6.683098;6.240280;6.483525;
0.476563;-1.084466;-2.394047;-1.021205;0.350106;-3.864987;0.026079;-2.985741;-0.392948;
0.480469;-12.398079;-10.740352;-12.297527;-9.383884;-10.988429;-5.922029;-11.875668;-7.340042;
0.484375;-13.186749;-12.863284;-13.603370;-10.513822;-10.082376;-6.949767;-12.892564;-8.507353;
0.488281;0.019287;-3.224010;-0.210065;1.133511;0.930589;-0.466885;-1.993895;-0.581986;
0.492188;9.898579;6.304686;10.099988;10.993312;9.138049;6.434325;7.701205;6.845986;
0.496094;1.876684;0.780399;0.897735;3.624970;1.645539;3.285631;1.953846;2.347061;
0.500000;-4.039624;-4.164944;-5.713611;-1.983269;-5.206863;1.054800;-4.096539;-0.945514;
0.503906;0.964193;-1.347999;-0.517403;2.670636;-2.838248;4.689342;-1.819538;2.753392;
0.507813;12.472911;8.613838;10.994460;14.254787;6.375700;14.310847;7.682364;12.471644;
0.511719;13.965382;12.193207;11.835650;16.010086;8.471988;16.621264;10.485487;15.238845;
0.515625;-3.592348;-2.211410;-6.638906;-2.574193;-5.466054;0.898968;-3.665238;1.145353;
0.519531;-10.940773;-9.002926;-13.188960;-9.904955;-11.495098;-6.794679;-10.822652;-5.342380;
0.523438;-0.053015;-1.019429;-1.216800;2.059636;-2.649135;2.647155;-3.015896;3.133262;
0.527344;11.715253;7.177267;10.216228;13.527430;6.718532;12.849920;6.035846;11.550678;
0.531250;10.342829;5.125993;7.702862;10.887612;5.015972;10.781338;4.932652;8.884193;
0.535156;-5.129268;-7.478480;-8.737290;-5.470023;-7.675701;-2.822109;-6.734770;-4.067805;
0.539063;-7.353611;-5.739964;-9.403348;-7.178057;-7.667133;-4.617632;-6.108423;-4.470387;
0.542969;4.974627;7.830057;5.408026;4.952436;4.655264;4.502109;6.007458;6.267988;
0.546875;12.007294;12.804796;12.581475;10.058973;10.838116;8.185358;11.676691;10.875954;
0.550781;11.541585;9.451923;10.392859;8.927379;9.055618;7.610672;9.724239;9.583485;
0.554688;5.214131;1.405654;2.643094;3.748547;1.938532;4.889871;2.664571;4.781976;
0.558594;5.840676;2.550340;4.542797;6.505617;1.231907;7.815909;2.562394;6.515369;
0.562500;8.776554;6.548619;8.530209;10.715686;2.519093;9.656341;5.218841;9.204579;
0.566406;1.699103;-0.288435;-0.534483;2.320732;-3.410488;1.532818;-0.430845;2.727115;
0.570313;-4.440406;-5.290882;-7.591976;-5.845270;-5.399755;-4.771372;-4.512002;-2.065455;
0.574219;-5.006894;-4.027261;-5.894921;-7.031483;-1.782556;-5.261188;-3.479116;-1.979399;
0.578125;4.967723;6.531296;7.266114;4.707824;8.277088;4.007204;5.583869;6.290495;
0.582031;13.108186;14.373681;15.322331;14.590682;13.367950;11.565644;11.702831;12.723521;
0.585938;2.295699;4.305601;1.031618;3.021041;0.871766;2.171756;1.598065;3.501353;
0.589844;-6.166802;-2.862350;-8.505799;-5.936040;-7.778100;-4.898703;-5.357657;-3.220476;
0.593750;-0.479267;2.394276;-0.865296;0.387772;-2.239277;0.500502;0.019032;1.671285;
0.597656;11.870621;13.662375;13.469655;13.196186;9.280975;10.994641;10.901321;11.720494;
0.601563;14.257344;15.608025;16.250509;15.143800;12.219669;12.187612;13.388049;12.710247;
0.605469;-1.588782;-1.364196;-0.857052;-2.425567;-0.592296;-2.374727;-0.185346;-2.404608;
0.609375;-7.879008;-9.380215;-7.656677;-9.070307;-6.566742;-7.765522;-6.385125;-8.170480;
0.613281;0.476133;-2.085083;0.294114;0.638854;-1.610878;0.301535;-0.623281;-0.042712;
0.617188;5.237173;3.718095;3.991391;6.367644;0.842757;4.876317;2.560972;4.766769;
0.621094;0.703802;1.573678;-0.919313;1.729212;-1.977149;0.607803;-0.668172;0.844947;
0.625000;-8.205663;-6.666219;-9.503155;-8.461443;-6.839103;-7.276087;-6.917346;-7.211262;
0.628906;-3.191265;-2.351460;-2.693695;-3.703134;-1.153888;-2.442586;-1.876068;-3.262821;
0.632813;6.180227;6.422144;8.256670;5.807892;5.990165;4.587553;6.029263;3.568609;
0.636719;4.088502;3.365658;5.406690;2.237304;3.526487;-0.471189;4.038098;-0.506262;
0.640625;0.510343;-1.329894;0.072150;-2.095564;1.144760;-4.889718;1.113883;-4.404199;
0.644531;-0.896735;-2.585701;-2.120666;-2.666386;0.696418;-3.947785;0.169570;-3.621814;
0.648438;4.595684;5.473366;5.203069;4.533008;5.785013;3.740080;5.422550;4.482329;
0.652344;7.388006;10.547228;9.079382;8.432151;7.549744;7.822394;7.978153;8.824552;
0.656250;-2.239271;-0.198731;-2.924588;-1.987133;-3.204280;-0.720620;-1.275886;-0.649256;
0.660156;-8.528134;-8.623837;-10.628652;-9.096164;-10.533143;-7.335235;-7.538810;-8.445510;
0.664063;-8.277179;-8.339946;-8.760062;-9.056530;-8.458755;-7.931442;-6.772590;-9.131771;
0.667969;-1.204787;0.558790;1.236514;-1.616569;1.667043;-2.127236;0.695109;-2.244248;
0.671875;5.181142;7.262329;8.648700;4.963049;9.051936;3.302766;6.664094;3.849256;
0.675781;1.374377;0.028395;2.191292;-0.299193;4.257803;-0.317212;1.889702;-0.595554;
0.679688;3.070284;-2.227956;1.101129;0.717068;2.676729;1.061200;1.283408;-0.297431;
0.683594;7.603784;2.749779;4.895257;7.083356;3.768049;7.076144;4.628999;5.346868;
0.687500;4.602820;4.972420;3.221987;6.473888;0.059189;7.333601;3.243719;6.118808;
0.691406;-4.333500;0.264651;-3.761926;-3.272408;-6.111132;-1.578787;-2.916258;-1.081648;
0.695313;-14.290510;-11.165103;-14.037157;-17.355671;-12.274624;-14.444353;-11.026478;-12.484181;
0.699219;-9.254721;-9.671614;-9.744879;-13.835971;-6.760718;-12.416328;-6.982337;-10.475203;
0.703125;-0.050071;-1.222097;0.232441;-2.785264;1.048167;-4.279704;0.522166;-2.978425;
0.707031;-3.120134;-3.141979;-1.746807;-4.113527;-2.801480;-5.398654;-2.992280;-5.184752;
0.710938;-9.408906;-10.777808;-7.419189;-9.816358;-9.144899;-9.383443;-9.621204;-10.649777;
0.714844;-10.173064;-17.055922;-7.906213;-11.967044;-8.449142;-11.305706;-11.291701;-13.232916;
0.718750;2.062910;-8.872079;5.488691;-0.452871;4.606336;-2.706130;-0.927596;-4.484422;
0.722656;11.801823;2.685707;15.357800;10.916595;13.714531;8.032002;8.472719;5.536798;
0.726563;5.192997;0.413369;6.143817;5.899467;5.745306;8.181793;3.990839;3.484600;
0.730469;-5.834282;-7.668540;-7.788295;-4.093938;-7.173646;2.365848;-5.460878;-4.085620;
0.734375;-15.682409;-16.135229;-19.232836;-13.563429;-16.251013;-7.705344;-14.546329;-12.983037;
0.738281;-12.348750;-12.042638;-15.152534;-10.365788;-10.828614;-9.235092;-11.339116;-11.075466;
0.742188;-3.661088;-3.726740;-4.640443;-2.919472;-1.978541;-4.932577;-2.985182;-4.751026;
0.746094;-9.393441;-10.587754;-9.124376;-11.409792;-7.368471;-10.947757;-7.590600;-11.384402;
0.750000;-13.710114;-14.495465;-11.500398;-17.051680;-9.873544;-14.819363;-10.544929;-15.820434;
0.753906;-7.056097;-6.510043;-3.743620;-9.534716;-1.655926;-8.703187;-3.196718;-9.179017;
0.757813;5.635427;5.969008;7.394777;5.496595;8.583939;3.662354;8.109555;2.770170;
0.761719;10.549092;8.869759;9.403213;12.493301;8.860672;9.646288;10.449498;7.190975;
0.765625;-1.259129;-4.352591;-3.381840;-0.665108;-2.551417;-0.610783;-1.201469;-3.044747;
0.769531;-8.090497;-9.392840;-7.430710;-9.793628;-5.480593;-8.252278;-6.224826;-8.342535;
0.773438;-5.306283;-3.901558;-3.149135;-6.624360;-1.957616;-6.414573;-3.325357;-5.185266;
0.777344;-1.758170;-0.540925;-1.842759;-0.804869;-1.486541;-1.732294;-1.850401;-2.112694;
0.781250;-1.781674;-3.005265;-3.297727;-0.238193;-2.382257;-0.663088;-2.996852;-2.753414;
0.785156;-6.294987;-9.885110;-6.161435;-7.474464;-3.781256;-6.129292;-6.641091;-7.797859;
0.789063;3.104305;-1.582939;6.051291;0.647661;4.814639;-0.161480;1.087840;-0.881631;
0.792969;15.718115;11.532459;18.008698;15.234841;11.308913;10.992843;10.721739;10.145302;
0.796875;9.264530;7.203253;7.110768;11.216978;1.321346;8.722268;4.670433;6.806710;
0.800781;-4.465224;-4.807365;-8.830096;-1.256849;-8.902741;0.081421;-6.552597;-2.891845;
0.804688;-9.076096;-10.432496;-10.206177;-8.097887;-6.444932;-6.348184;-9.364933;-8.248658;
0.808594;3.970991;1.669505;8.473992;1.862374;8.631503;-1.012636;3.585588;0.111759;
0.812500;13.511292;13.385321;18.310139;12.467216;14.024068;7.312391;13.023540;9.420270;
0.816406;2.810400;5.473791;1.144494;5.428850;-0.411958;4.209923;3.014640;4.443330;
0.820313;-6.934167;-4.029066;-13.207186;-2.586463;-10.860200;-0.747003;-7.468791;-1.923396;
0.824219;-7.822554;-5.387847;-12.296187;-4.916073;-10.048690;-2.362238;-8.954497;-3.433662;
0.828125;-2.245738;2.595548;-1.315199;-0.385618;-1.518894;1.103284;-1.796132;1.042351;
0.832031;-0.485506;7.019206;3.614124;1.219427;3.122420;0.991851;2.555355;2.473433;
0.835938;-10.115877;-4.080112;-7.455712;-10.500938;-5.406950;-9.647574;-5.824044;-7.467502;
0.839844;-11.917488;-9.000787;-10.388965;-14.459147;-7.762168;-12.854190;-8.565664;-10.988087;
0.843750;-4.544402;-2.378157;-2.211498;-7.016460;-0.479103;-6.735012;-2.275300;-5.001653;
0.847656;2.310531;5.392996;4.067002;2.338780;3.864126;0.907591;2.637958;2.113672;
0.851563;3.270946;5.689322;2.784886;5.706045;0.611822;5.124973;1.038321;4.373347;
0.855469;-3.665229;-3.525475;-4.962510;-2.811106;-5.564630;0.531089;-5.430608;-1.418111;
